name;success;x;y;m01_ampli;m02_ampli;m03_ampli;m04_ampli;m05_ampli;m06_ampli;m07_ampli;m08_ampli;m09_ampli;m10_ampli;m11_ampli;m12_ampli;m01_fwhm;m02_fwhm;m03_fwhm;m04_fwhm;m05_fwhm;m06_fwhm;m07_fwhm;m08_fwhm;m09_fwhm;m10_fwhm;m11_fwhm;m12_fwhm;m01_x0;m02_x0;m03_x0;m04_x0;m05_x0;m06_x0;m07_x0;m08_x0;m09_x0;m10_x0;m11_x0;m12_x0
MechelleSpect_016.csv;True;;;902238266959.62;888583489498.569;795150481028.795;1091897558755.955;1391791692691.525;1170616110063.916;1464044367417.327;2334529476531.899;1334392171443.58;871106999621.47;1710778030744.949;894877600176.465;0.181;0.265;0.198;0.12;0.084;0.094;0.153;0.116;0.17;0.09;0.099;0.085;433.231;432.883;432.607;431.701;431.574;431.118;430.984;430.684;430.371;430.139;429.839;429.742
MechelleSpect_018.csv;True;;;657294774242.16;630871609369.129;626884270732.512;892933592561.931;1072144009284.968;1018093976652.982;1096707701866.855;1574557404895.202;1053459643152.299;610445261616.434;1349786257962.548;690931602845.1;0.18;0.263;0.172;0.133;0.078;0.097;0.151;0.114;0.151;0.091;0.095;0.085;433.234;432.891;432.593;431.7;431.568;431.114;430.979;430.682;430.371;430.138;429.837;429.737
MechelleSpect_020.csv;True;;;532091484018.763;544948114452.215;563572313849.281;879185892546.658;1000393560536.057;979165387680.309;1002974756529.729;1396257735519.906;853772028155.088;530550374894.167;1163129695282.324;558298443985.506;0.194;0.225;0.16;0.134;0.08;0.095;0.136;0.115;0.153;0.086;0.088;0.094;433.235;432.883;432.598;431.697;431.571;431.113;430.985;430.679;430.366;430.136;429.84;429.751
MechelleSpect_022.csv;True;;;434673425782.248;555397579702.005;537883985777.761;758894957248.262;719730244508.987;838742389772.337;975227581958.127;1331985322886.122;829753047505.906;433057584768.595;897337654425.532;441676835775.968;0.199;0.237;0.148;0.203;0.064;0.101;0.154;0.121;0.154;0.082;0.096;0.087;433.222;432.886;432.586;431.673;431.563;431.115;430.983;430.679;430.366;430.129;429.833;429.738
MechelleSpect_023.csv;True;;;409248555776.163;453586771202.064;503031440936.216;650315551338.651;666838789937.475;312073616740.222;694248769418.28;888971716410.461;537494631734.906;343220539968.232;671209203453.565;316616410353.411;0.128;0.266;0.132;0.137;0.076;0.048;0.237;0.111;0.154;0.082;0.092;0.08;433.196;432.897;432.574;431.689;431.562;431.118;431.023;430.671;430.358;430.127;429.828;429.735
MechelleSpect_026.csv;True;;;373312525717.537;381342621498.781;464856376456.244;695290341712.844;645404326644.088;620283019459.514;674404192615.327;901143371257.338;560038270535.876;311153025159.002;597144016508.453;205657087603.556;0.125;0.276;0.135;0.149;0.075;0.122;0.156;0.116;0.142;0.081;0.086;0.151;433.196;432.906;432.581;431.687;431.559;431.102;430.971;430.67;430.358;430.123;429.834;429.762
MechelleSpect_027.csv;True;;;310153902265.19;371997586391.596;351954830232.926;462216011452.608;488268848653.571;467355572904.65;508176442391.395;649055425262.773;368117932379.178;181998471677.726;529768987149.112;229990863804.803;0.149;0.263;0.099;0.135;0.078;0.104;0.117;0.111;0.164;0.076;0.093;0.061;433.192;432.907;432.587;431.715;431.584;431.121;430.995;430.694;430.386;430.138;429.853;429.765
MechelleSpect_031.csv;True;;;318619019645.33;352378297166.489;378870678998.643;497125802496.221;652829031986.447;580537029752.999;583309472495.986;718729964843.714;479363793824.598;300472885042.421;583985842294.621;272367479489.243;0.14;0.234;0.11;0.286;0.019;0.115;0.12;0.109;0.149;0.079;0.1;0.063;433.2;432.898;432.59;431.668;431.57;431.116;430.992;430.692;430.383;430.144;429.85;429.76
MechelleSpect_032.csv;True;;;314184079980.911;386535744141.198;450204504073.626;637252834739.168;483461917811.857;587173920301.612;660495786208.695;766720359014.96;533699622365.772;267831578635.419;621123063799.443;358429584714.578;0.131;0.238;0.11;0.171;0.072;0.114;0.133;0.118;0.146;0.066;0.088;0.079;433.198;432.901;432.591;431.699;431.572;431.122;430.996;430.693;430.366;430.135;429.852;429.767
