nist_wl_nm,line,nist_intensity,spec_wl_nm,spec_intensity
358.6,C II,57,358.6684,-0.04039573733150093
358.6832,C II,20,358.6684,-0.04039573733150093
359.184,C II,150*,359.15726,-0.043183336784885604
359.184,C II,150*,359.15726,-0.043183336784885604
359.6166,C I,2700*,359.5578,-0.03283098775683633
359.6166,C I,2700*,359.5578,-0.03283098775683633
360.498,C I,2700,360.53888,-0.030865985651155333
375.017530019,D I,,374.9534,-0.04645532275168619
375.017537961,D I,,374.9534,-0.04645532275168619
376.5026,C I,2800,376.49402,-0.04216559473728744
378.949,B II,190,378.95895,-0.0609472911949083
383.4435,C I,7300,383.43933,-0.031172073136363092
387.9127,C II,40,387.9762,-0.02968481481904689
392.0088,C II,330,391.95914,-0.027826887125932905
392.011,N II,360,391.95914,-0.027826887125932905
392.1803,C II,580,392.17896,-0.047311174358490575
393.024,C II,21*,393.03506,-0.0408450696604187
393.024,C II,21*,393.03506,-0.0408450696604187
393.024,C II,21*,393.03506,-0.0408450696604187
394.5309,C II,14,394.58109,-0.038965411644283535
394.612,C II,24,394.58109,-0.038965411644283535
394.6314,C II,19,394.58109,-0.038965411644283535
394.7395,C II,20u,394.72867,-0.023940960819397738
394.74,B II,12*,394.72867,-0.023940960819397738
394.74,B II,12*,394.72867,-0.023940960819397738
394.74,B II,12*,394.72867,-0.023940960819397738
394.7546,C II,7u,394.72867,-0.023940960819397738
394.8196,C II,11,394.77786,-0.03131872749436444
395.3798,C II,9,395.41812,-0.028077654699974013
396.2524,C I,7900,396.25702,-0.02724400803809115
397.004,C II,7h,397.07306,-0.026552507776687776
397.00848,D I,,397.07306,-0.026552507776687776
397.00879,D I,,397.07306,-0.026552507776687776
397.01152,D I,,397.07306,-0.026552507776687776
397.01421,D I,,397.07306,-0.026552507776687776
397.01422,D I,,397.07306,-0.026552507776687776
397.0643,C II,14,397.07306,-0.026552507776687776
397.151,C II,19qs*,397.07306,-0.026552507776687776
397.151,C II,19qs*,397.07306,-0.026552507776687776
397.2698,C II,11,397.34546,-0.030634473599530525
397.356,C II,32h*,397.34546,-0.030634473599530525
397.356,C II,32h*,397.34546,-0.030634473599530525
398.8007,C I,2600*,398.76016,-0.05719970723716306
398.8007,C I,2600*,398.76016,-0.05719970723716306
401.8413,C II,25,401.85614,-0.024146858753973918
410.11,N I,140,410.06558,-0.2395741095458697
410.459,N III,200,410.39862,-0.023897457646375842
412.3096,B II,1500*,412.37708,-0.03169693335533881
412.3096,B II,1500*,412.37708,-0.03169693335533881
412.3096,B II,1500*,412.37708,-0.03169693335533881
412.3096,B II,1500*,412.37708,-0.03169693335533881
412.3096,B II,1500*,412.37708,-0.03169693335533881
412.3096,B II,1500*,412.37708,-0.03169693335533881
414.7433,C I,4000,414.70218,-0.0245865620845374
415.4545,C I,2300,415.40237,-0.0351527387619371
415.75,C II,"120bl(O II,N II)*",415.7919,-0.026859288725048308
415.75,C II,"120bl(O II,N II)*",415.7919,-0.026859288725048308
415.75,C II,"120bl(O II,N II)*",415.7919,-0.026859288725048308
419.5974,B II,180,419.55084,-0.02472153249261738
421.4261,C I,4000,421.49631,-0.02672711726654049
423.81,N II,285,423.74249,-0.024361702667863507
429.692,B II,50,429.69473,-0.0372931322280169
429.7129,C II,38h,429.69473,-0.0372931322280169
430.88,C II,21hql,430.87936,-0.04521471482063076
431.4313,C II,60,431.49994,-0.03213605399544704
434.5332,C I,1900,434.53513,-0.0635537493037489
434.553,C I,2800,434.53513,-0.0635537493037489
434.69,N III,120,434.67111,-0.04634207491839573
436.734,B III,100,436.68924,-0.02723767572186523
436.949,C II,66u*,437.0174,-0.029074921293396165
436.949,C II,66u*,437.0174,-0.029074921293396165
437.5501,C II,190,437.48276,-0.02372166430087456
446.2552,C I,2800*,446.25397,-0.027230068306219695
446.2552,C I,2800*,446.25397,-0.027230068306219695
446.2752,C I,2800*,446.25397,-0.027230068306219695
446.2752,C I,2800*,446.25397,-0.027230068306219695
461.242,B II,25*,461.29388,-0.03527304465476666
461.242,B II,25*,461.29388,-0.03527304465476666
464.438,N II,550,464.39816,-0.06774599157601248
464.843,B IV,320*,464.83505,-0.02851943295540141
464.843,B IV,320*,464.83505,-0.02851943295540141
464.843,B IV,320*,464.83505,-0.02851943295540141
464.843,B IV,320*,464.83505,-0.02851943295540141
464.843,B IV,320*,464.83505,-0.02851943295540141
464.843,B IV,320*,464.83505,-0.02851943295540141
464.872,C III,600,464.83505,-0.02851943295540141
474.3896,C I,4200,474.40332,-0.029414053423180923
481.001,C I,"690w,d",481.02295,-0.05834102032689045
486.018,N III,90,485.96466,-1.34020207025907
486.034,C I,1100bl(Nd II),485.96466,-1.34020207025907
486.8429,C II,17,486.87973,-0.029316083576838285
486.851,N III,150,486.87973,-0.029316083576838285
487.544,C I,2400bl(Ti II),487.49069,-0.03601477380815683
496.1304,C II,10,496.15649,-0.025763780485743643
500.288,N II,650,500.31146,-0.029021369088515776
501.779,N II,360,501.78802,-0.025551463355475715
501.849,C I,9300*,501.78802,-0.025551463355475715
501.849,C I,9300*,501.78802,-0.025551463355475715
510.933,C II,"8h,bl",510.93057,-0.028739793880075904
513.437,C II,130w*,513.49927,-0.02515161178489917
513.471,C II,130w*,513.49927,-0.02515161178489917
525.0971,C II,8,525.15088,-0.030960458041759353
525.7553,C II,8,525.67767,-0.024522274295706366
536.916,C II,6h,536.96075,-0.029115274435541152
537.007,C II,6wh*,536.96075,-0.029115274435541152
537.007,C II,6wh*,536.96075,-0.029115274435541152
537.007,C II,6wh*,536.96075,-0.029115274435541152
551.63,C I,"1700d,l",551.57794,-0.025507171828981927
553.358,C I,1800bl?,553.37567,-0.027306063409194687
568.779,N II,450,568.85126,-0.04823434602748345
571.4095,C II,5,571.3457,-0.048024850982291485
575.41,N I,700,575.39453,-0.023710101158855985
581.5122,C I,2300,581.53741,-0.03044149326545099
596.5641,C I,7200,596.6109,-0.02601199215247663
604.413,C I,1400,604.43671,-0.04488729666968851
609.6977,C II,33,609.69501,-0.0295838082253026
610.0198,C II,30,609.99896,-0.029454977352495783
610.0611,C I,1600,609.99896,-0.029454977352495783
708.9781,C I,18000,708.96985,-0.057183149595620195
713.6077,C II,18,713.56927,-0.026364308516911256
714.616,C II,5,714.62439,-0.04218335789269163
722.6232,C I,4500,722.58276,-0.026354932225912536
752.617,C II,6i,752.63708,-0.0239726766999658
757.616,C II,26*,757.63025,-0.06100980677542848
757.616,C II,26*,757.63025,-0.06100980677542848
757.616,C II,26*,757.63025,-0.06100980677542848
761.475,C III,150,761.44116,-0.1390664181083163
766.455,C I,27000,766.53339,-0.07540183946848605
783.741,B III,800,783.80707,-0.040793171835564745
795.3533,C I,4200,795.35284,-0.03162678274266566
804.7546,C I,27000,804.74652,-0.02922469884616699
819.027,N I,400,819.09528,-0.027123336696961573
843.3192,C I,7000,843.25513,-0.027907473223285066
