Sample ID,Laser test ID,Filler,Heat load (MW/m^2),Recession rate (cm/s),Recession rate error (cm/s),Outgassing rate (Torr-L/s/m^2),Outgassing rate error (Torr-L/s/m^2)
R4N131,557,graphite,37.846103942563815,0.7975,0.0523,280241.89458142844,83905.42609137799
R4N131,558,graphite,37.846103942563815,0.957,0.0627,9137.111473430272,2729.9906231590444
R4N155,559,graphite,37.846103942563815,2.9598,0.1922,181405.09120420102,54321.241991429975
R4N155,560,graphite,37.846103942563815,0.488,0.0329,158228.0279545242,47356.9801976569
R4N132,562,graphite,37.846103942563815,0.6693,0.055,91036.8301682016,27244.19213724026
R4N132,563,graphite,37.846103942563815,1.3217,0.1078,182296.51671380395,54571.9554160058
R4N132,564,graphite,37.846103942563815,0.5455,0.0451,37328.44321462367,11170.67591721201
R4N132,565,graphite,37.846103942563815,3.65,0.2971,63848.35212531154,19109.934362113312
R4N159,566,boron,37.846103942563815,0.5099,0.0318,40671.288875634746,12173.529615515332
R4N159,567,boron,37.846103942563815,0.541,0.0336,47914.12114115874,14346.379295172532
R4N157,568,graphite,37.846103942563815,0.7122,0.0701,203022.1598120726,60784.07693605138
R4N157,569,graphite,37.846103942563815,0.2552,0.0263,148199.490971491,44376.276149922014
R4N131,570,graphite,37.846103942563815,0.8493,0.0558,18051.366569459806,5404.267151967904
R4N157,571,graphite,14.869650555939335,0.0902,0.005,1030.7107454784148,306.42751892601524
R4N157,572,graphite,14.869650555939335,0.2014,0.0071,7187.118171173812,2144.9926324821067
R4N157,573,graphite,23.4117036988788,0.1081,0.0071,38999.86604512921,11672.102766363672
R4N157,574,graphite,23.4117036988788,0.1036,0.007,39473.43584710577,11811.388002239133
R4N157,575,graphite,39.54085907500251,0.3694,0.0122,32258.460628756875,9666.395369757025
R4N157,580,graphite,39.54085907500251,0.3907,0.0153,129256.69889242822,38693.4385262032
