Area (mm^2),Perimeter (mm)
0.65,2.88
0.87,3.32
1.83,4.95
0.68,2.95
0.47,2.46
0.49,2.51
2.47,5.71
0.88,3.35
0.38,2.21
0.64,2.86
1.06,3.68
0.76,3.34
0.44,2.37
1.07,3.72
0.87,3.35
0.53,2.62
0.70,2.99
0.44,2.39
0.69,3.00
0.42,2.32
1.19,3.91
0.81,3.24
0.37,2.18
0.50,2.55
0.38,2.24
1.30,4.18
0.46,2.43
0.82,3.23
0.58,2.76
1.31,4.09
0.82,3.23
0.82,3.36
1.01,3.62
1.19,3.90
0.42,2.33
1.32,4.30
0.75,3.13
1.29,4.16
1.76,4.96
0.51,2.59
0.78,3.18
0.60,2.76
0.85,3.29
1.27,4.06
0.95,3.66
1.33,4.26
0.49,2.50
0.74,3.07
0.53,2.61
0.40,2.28
0.71,3.21
0.45,2.42
0.93,3.45
0.51,2.56
0.59,2.80
0.61,2.81
1.03,3.62
0.41,2.31
0.59,2.77
0.62,2.83
0.41,2.28
0.88,3.34
0.56,2.68
0.57,2.70
0.52,2.59
0.59,2.78
0.45,2.42
0.58,2.74
0.55,2.66
0.68,2.95
1.09,3.84
0.58,2.78
0.80,3.21
0.52,2.58
0.44,2.38
0.70,3.05
0.52,2.58
0.61,2.80
0.50,2.54
0.84,3.29
0.45,2.39
0.73,3.05
0.58,2.72
0.49,2.56
0.63,2.85
0.40,2.31
0.47,2.47
0.83,3.29
1.37,4.38
0.63,2.84
0.51,2.58
1.50,4.63
0.42,2.32
0.46,2.43
0.65,2.90
0.44,2.40
0.63,2.85
0.63,2.90
1.08,3.74
0.47,2.45
0.51,2.56
0.66,2.91
0.44,2.39
1.16,3.92
0.57,2.72
0.65,2.89
0.59,2.76
0.66,3.00
0.52,2.59
0.48,2.49
1.36,4.20
0.66,3.20
