Temperature (K),Evaporation rate (atoms/cm^2/s)
2082.9524, 7.5827e16
2096.4245, 9.9805e16
2098.6482, 1.1276e17
2113.6784, 1.236e17
2117.3465, 1.7289e17
2126.4415, 1.3966e17
2129.3785, 1.8102e17
2138.4255, 1.7294e17
2148.8908, 2.2417e17
2161.6756, 2.3471e17
2165.3786, 2.906e17
2171.4447, 2.4951e17
2171.3794, 3.1366e17
2178.9076, 3.1369e17
2183.3678, 3.8252e17
2189.4078, 3.599e17
2202.9062, 4.3228e17
2204.3464, 5.4344e17
2212.636, 5.2717e17
2215.547, 7.4876e17
2223.863, 6.6281e17
2228.3406, 7.604e17
2232.8793, 7.0459e17
2238.8932, 7.2648e17
2247.8485, 9.5615e17
2250.9907, 6.0504e17
